PRODUCTO,CANTIDAD_PRODUCTO, PRECIO_TOTAL,FECHA,AÑO,MES,NomMes,DIA,REFERENCIA,GENERO,TALLA,CANTIDAD_DEVOLUCION, PRECIO_TOTAL_DEVOL
[701297XXL] PLAYERA BAUSI 701297 (XXL),5, $  20.000 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,XXL,,
[701298L] PLAYERA BAUSI 701298 (L),13, $  53.000 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,L,,
[701298M] PLAYERA BAUSI 701298 (M),14, $  59.500 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,M,,
[701298S] PLAYERA BAUSI 701298 (S),3, $  12.900 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,S,,
[701298XL] PLAYERA BAUSI 701298 (XL),10, $  41.000 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,XL,,
[701298XXL] PLAYERA BAUSI 701298 (XXL),5, $  19.500 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,XXL,,
[701299L] PLAYERA BAUSI 701299 (L),10, $  40.800 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,L,,
[701299M] PLAYERA BAUSI 701299 (M),8, $  33.400 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,M,,
[701299S] PLAYERA BAUSI 701299 (S),2, $  7.400 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,S,,
[701299XL] PLAYERA BAUSI 701299 (XL),7, $  27.900 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,XL,,
[701299XXL] PLAYERA BAUSI 701299 (XXL),5, $  21.600 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,XXL,,
[701300L] PLAYERA BAUSI 701300 (L),9, $  37.000 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,L,,
[701300M] PLAYERA BAUSI 701300 (M),8, $  34.000 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,M,,
[701300S] PLAYERA BAUSI 701300 (S),3, $  8.000 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,S,,
[701300XL] PLAYERA BAUSI 701300 (XL),9, $  36.800 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,XL,,
[701300XXL] PLAYERA BAUSI 701300 (XXL),2, $  10.000 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,XXL,,
[701301L] PLAYERA BAUSI 701301 (L),18, $  73.300 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,L,,
[701301M] PLAYERA BAUSI 701301 (M),17, $  71.400 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,M,,
[701301S] PLAYERA BAUSI 701301 (S),4, $  16.000 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,S,,
[701301XL] PLAYERA BAUSI 701301 (XL),14, $  56.300 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,XL,,
[701301XXL] PLAYERA BAUSI 701301 (XXL),6, $  24.500 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,XXL,,
[701302L] PLAYERA BAUSI 701302 (L),18, $  71.900 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,L,,
[701302M] PLAYERA BAUSI 701302 (M),14, $  58.500 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,M,,
[701302S] PLAYERA BAUSI 701302 (S),6, $  25.100 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,S,,
[701302XL] PLAYERA BAUSI 701302 (XL),15, $  60.500 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,XL,,
[701302XXL] PLAYERA BAUSI 701302 (XXL),5, $  19.600 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,XXL,,
[701303L] PLAYERA BAUSI 701303 (L),20, $  81.700 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,L,,
[701303M] PLAYERA BAUSI 701303 (M),20, $  82.400 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,M,,
[701303S] PLAYERA BAUSI 701303 (S),9, $  37.600 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,S,,
